,Unnamed: 0,URL,SongName,Artist,Lyricist,Composer,Lyric
0,0,https://www.uta-net.com/song/129431/,愛してやまない音楽を,andymori,小山田壮平,小山田壮平,"愛してやまない音楽を　どこまでも鳴らそうぜ兄弟,本気になるならケンカもするよ　たまに嫌になることもあるだろう,だけれどお前の瞳は　いつまでも少年のように,俺を呼ぶから　苦しい時も素直な心でいられるよ,愛してやまない音楽を　どこまでも鳴らそうぜ兄弟,素敵なメロディー　聴かせてくれよ　ララララララララ....,ギターケース抱えて歩いた駅までの道の途中　振り返った笑顔,時は流れて　夢は破れても　変わらない情熱を歌いたい,愛してやまない音楽を　どこまでも鳴らそうぜ兄弟,聴かせてくれよ　奏でてくれよ　ララララララララ...."
1,1,https://www.uta-net.com/song/122909/,青い空,andymori,小山田壮平,小山田壮平,"青い空　僕らは忘れるよ,地図に迷い込んだときは思い出してほしいよ,ジャイサルメールには,ドロップキャンディーの雨が降る,歴史は砂の中　僕らは風の中,グッドモーニング僕らはこの空の下,グッドモーニング目を閉じ耳をふさぎ,揺れる,吐き気のするあの顔を大事な人の中にみて,いろいろと嫌になって飛び出してきたけれど,からまりをほどいてもあんまり変わらないけど,坂道を行くバスは南の空へ行く,グッドモーニング僕らはこの空の下,グッドモーニング目を閉じ耳をふさぎ,グッドモーニング僕らはこの空の下,グッドモーニング立ち止まり　息を潜め,青い空をいつか　僕らは忘れるよ"
2,2,https://www.uta-net.com/song/155290/,andyとrock,andymori,小山田壮平,小山田壮平,"いつからか時間が止まっていた,右に左に音の波の中,これでいいかとうなづいたときに,あいつ変だと指をさされたよ,もう戻れない場所を思うとき,もう会えない人を思うときに,アンプ蹴ったらギャンギャンないた,１５ワットの小さな世界が,アンプを蹴りとばしたんだ,アンプを蹴りとばしたんだ,ギャンギャンないた　ギャンギャンないて,ディストーション、壁を叩いた,血管切れる音がして,オルドバイからブルジョドバイまで,アンディ、死にたいとうたっていた,アンディ、帰りたいと叫んでいたんだよ"
3,3,https://www.uta-net.com/song/129437/,インナージャーニー,andymori,小山田壮平,小山田壮平,"ああ　こんな夕暮れの空の下　愛を愛を歌う,ただ　君のことを想って　愛を愛を歌う,そうだ僕は臆病者だ　旅に出よう　歌いながら,旅に出よう　旅に出よう　旅に出よう　歌いながら,つまずいて　転んで起きて　また愛を愛を歌う,はしゃいだ後　悲しくなって　また愛を愛を歌う,愛を愛を愛を愛を....,目を閉じて　僕はいなくなるんだ,ただ風の音を聞くだけの行為になるんだ,旅に出よう　頭、ハート、臍へと下りて行こう,旅に出よう　旅に出よう　旅に出よう　歌いながら,旅に出よう　旅に出よう　旅に出よう　歌いながら,旅に出よう...."
4,4,https://www.uta-net.com/song/117103/,Weapons of mass destruction,andymori,小山田壮平,小山田壮平,"さくら通りには　ぬるい風と影の中,森に憧れる人間の哀れな営み,君と分け合うためのコーラを買って歩くよ,ふざけあえば分かるはず　下らないこと　変らないもの　なんだか,綺麗な人形が欲しいよ　僕にとっての君みたいな,Weapons of mass destruction　東へ東へ,流れる雲のように生きるには少しだけ,この体は重たすぎて嫌になるけれど,戸惑う人　立ち止まる人　流される人　抗う人,嫌いになれない様々なあれこれ,太陽がなんだか恋しいんだ　コンクリートジャングルに降り注いだ,Weapons of mass destruction　東へ東へ,一人きり電車に揺られ　なんだかなって思って,映画のような我が世界を想えば,うまくいけばいいし　ダメなら悲劇のヒーローになるよ,居眠りしたり　ぼんやり車窓を眺めたりするよ,綺麗な人形が欲しいよ　僕にとっての君みたいな,Weapons of mass destruction　東へ東へ,太陽がなんだか恋しいんだ　コンクリートジャングルに降り注いだ,Weapons of mass destruction　東へ東へ"
5,5,https://www.uta-net.com/song/148492/,宇宙の果てはこの目の前に,andymori,小山田壮平,小山田壮平,"子どもの頃に宇宙の果てはどうなっているの?だとか,人は死んだらどこへ行くの?とか,無邪気に訊ねて困らせていたよ,とは言えひとまず　虹色の舟に乗って,旅に出たんだ　穏やかな日も　嵐の日にも　ただひたむきに,思春期を過ぎて　大人と呼ばれて,愛情を知る頃　振り出しに戻る,宇宙の果てはこの目の前に,君一人さえ僕は分からない,時間の果ては一寸先に,君一人さえ僕は守れない,鏡の前で立ち止まるとき,「君は誰だ?」と問いかけてみる,悲しみに濡れる君の瞳に映る輪郭　高鳴る鼓動,「愛しているよ」と君の声　セピア色のあの部屋で聞いた声,「ここにいるよ」ギター鳴らして　夕焼け空に叫んでいるよ,この手を伸ばして　君に触れるよ　君に触れるよ,宇宙の果てはこの目の前に,光溢れるこの街と窓,時間の果ては一寸先に,このメロディーが弾けて消える,宇宙の果てはこの目の前に,時間の果ては一寸先に,宇宙の果てはこの目の前に"
6,6,https://www.uta-net.com/song/122916/,everything is my guitar,andymori,小山田壮平,小山田壮平,"西通りを過ぎれば憂鬱を運ぶ,バスに乗れと脅される,Everything's gonna be alright,かなしいめをしないで yes be alright,ぐずついた天気が続いてる,everything is my guitar,桜坂を過ぎるころに 浮かんだ言葉,誰にも言えない　言うことはないよ,ロックンロールバンド,君の目が君の髪が指が足が,ロックンロールバンド,君の目が君の髪が指が好きさ,everything is my guitar,物語が始まるかも知れないんだよ,everything is my guitar,僕のギターをきいてくれよ,特に何のこだわりもない音,部屋の隅で埃をかぶってた,everything is my guitar,ねえ君　間違っていないよっていって,そしたら僕何度も何度も何度も,何度も何度も何度でもいつでも,街頭の右翼の叫び声,街宣車で叫ぶ議員の声,everything is my guitar,こんなとりとめのない平和な掃き溜めで,街頭の右翼の叫び声,街宣車で叫ぶ議員の声,everything is my guitar,こんなとりとめのない平和な掃き溜めで,ロックンロールバンド,ロックンロールバンド,ロックンロールバンド,ロックンロールバンド,ロックンロールバンド,ロックンロールバンド,ロックンロールバンド,ロックンロールバンド,everything is my guitar,物語が始まるかも知れないんだよ,everything is my guitar,僕のギターをきいてくれよ,特に何のこだわりもない音,部屋の隅で埃をかぶってた,everything is my guitar,ねえ君　間違っていないよっていって,そしたら僕何度も何度も何度も,何度も何度も何度でもいつでも,everything is my guitar,僕のギターをきいてくれよ,特に何のこだわりもない音,部屋の隅で埃をかぶってた,everything is my guitar,ねえ君　間違っていないよっていって,そしたら僕何度も何度も何度も,何度も何度も何度でもいつでも"
7,7,https://www.uta-net.com/song/117201/,オレンジトレイン,andymori,小山田壮平,小山田壮平,"波に乗るのにももう疲れてガラクタに囲まれて暮らしながら,豚たち目配せして乗り込んでいくオレンジトレイン,いつかのあの太陽を忘れないいつかのあの体温を忘れない,気遣いながら吸い込まれていくオレンジトレイン,人身事故で君に会えない乾いた空に響くアナウンス,優しい時間に撫でられながら諦めながらみつめたオレンジトレイン,いつまでも続くのか眠たそうな顔しては,逃げ場所を探しては　小さな息をつくけれど,お願い　最後のお願い　聞いて　あの空の向こうに連れていってほしい,じとりとあるようで消えてしまいそうなボーダーライン,運ばれていくラジオの声と筑豊本線とオレンジトレイン,人身事故で君に会えない乾いた空に響くアナウンス,優しい時間に撫でられながら諦めながらみつめたオレンジトレイン"
8,8,https://www.uta-net.com/song/148481/,カウボーイの歌,andymori,小山田壮平,小山田壮平,"手を伸ばしても触れられない空に憧れていただけだ,君も神様も今日は泣いたとしても,喜びの歌　カウボーイが笑う,今日も誰かに嫌われたかな　下手な嘘をついてしまったな,少しだけため息の週末,なんとなく　カウボーイが笑う,立ち止まり後ろを向けば誰もが　帰りたい気がするものだ,「そんなのはやいとこ諦めたほうがいいぜ」,といつも　カウボーイが笑う,君も神様も今日は泣いたとしても,喜びの歌　カウボーイが笑う"
9,9,https://www.uta-net.com/song/117105/,革命,andymori,小山田壮平,小山田壮平,"革命を起こすんだ　夢を見るんだと誰もが今夜祈るわけは,革命を起こすんだ　風を待つんだと誰もが胸踊らせるわけは,リンリンリンと電話が鳴って　呼んでるんだ　熱が騒ぐんだ,１００回　１０００回　１００００回叫んだって,伝わらない　届かない想いは,１００日　１０００日　１００００日たった後で,きっと誰かの心に風を吹かせるんだ,革命を起こすんだ　明日はあるんだと誰もが今夜祈るわけは,パパパパパパパとファンファーレ　呼んでるんだ　熱が騒ぐんだ,１００回　１０００回　１００００回くり返して,伝わらない　届かない想いは,１００日　１０００日　１００００日たった後で,夜明けを待つ心に風を吹かせるんだ"
