,words,vector
0,10年,0.0063265168446420056
1,10年後,0.0031632584223210028
2,1984,0.0063265168446420056
3,3,0.009489775266963008
4,3セット,0.009489775266963008
5,3分間,0.018979550533926016
6,5,0.0031632584223210028
7,5分,0.0063265168446420056
8,5時,0.0063265168446420056
9,5限,0.0031632584223210028
10,6時,0.0063265168446420056
11,alright,0.0063265168446420056
12,america,0.009489775266963008
13,amus,0.0031632584223210028
14,ap,0.0031632584223210028
15,are,0.0031632584223210028
16,baby,0.0063265168446420056
17,be,0.0063265168446420056
18,biutifulビューティフル,0.012653033689284011
19,bless,0.009489775266963008
20,blues,0.0031632584223210028
21,brand,0.0031632584223210028
22,by,0.0031632584223210028
23,cd,0.0031632584223210028
24,city,0.028469325800889025
25,cl,0.0031632584223210028
26,clap,0.0063265168446420056
27,cnn,0.0031632584223210028
28,cute,0.0031632584223210028
29,destruction,0.012653033689284011
30,distortion,0.0063265168446420056
31,dive,0.0031632584223210028
32,dylala,0.0031632584223210028
33,dylaladyla,0.015816292111605013
34,dylaladylala,0.0063265168446420056
35,dylaladylalalalalala,0.0031632584223210028
36,dylaladylamama,0.015816292111605013
37,dylalalalalala,0.0031632584223210028
38,easy,0.012653033689284011
39,everything,0.03795910106785203
40,follow,0.0063265168446420056
41,god,0.009489775266963008
42,gonna,0.0031632584223210028
43,guitar,0.03479584264553103
44,hands,0.03479584264553103
45,hey,0.0031632584223210028
46,i,0.025306067378568022
47,in,0.018979550533926016
48,india,0.0031632584223210028
49,is,0.06642842686874106
50,it,0.012653033689284011
51,killmebaby,0.0031632584223210028
52,kiss,0.018979550533926016
53,life,0.031632584223210025
54,lights,0.025306067378568022
55,love,0.031632584223210025
56,lovely,0.009489775266963008
57,mama,0.009489775266963008
58,mass,0.012653033689284011
59,maya,0.0031632584223210028
60,me,0.018979550533926016
61,money,0.06642842686874106
62,my,0.03479584264553103
63,need,0.0031632584223210028
64,new,0.0031632584223210028
65,night,0.025306067378568022
66,of,0.012653033689284011
67,oh,0.025306067378568022
68,pan,0.0031632584223210028
69,papa,0.025306067378568022
70,party,0.015816292111605013
71,peter,0.0031632584223210028
72,ring,0.009489775266963008
73,roc,0.0031632584223210028
74,run,0.028469325800889025
75,s,0.0031632584223210028
76,said,0.04428561791249404
