,word,TF-IDF
190,君,0.06937884430726009
106,ん,0.06182685191771876
25,いる,0.05782209702356417
103,れる,0.0471339157114099
162,僕,0.04668470863821822
382,空,0.04576302237408222
19,いく,0.04565367250228555
55,する,0.04510462003291646
43,こと,0.04351149130557699
79,の,0.04336222951468088
74,ない,0.04099155489338293
76,なる,0.04073459351309688
323,歌う,0.0375807685575082
68,てる,0.03510587564615285
433,誰,0.03453878011030365
417,行く,0.03407308621845306
163,僕ら,0.031862171055494694
101,よう,0.03127365780135488
72,どこ,0.030681651813835687
138,中,0.030171952305703756
17,いい,0.029457843343092694
295,日,0.02851351279968928
496,０,0.025501056490462703
250,彼女,0.025324795098670895
39,くれる,0.024828992633885917
48,しまう,0.02458533954535436
121,バンド,0.024516841955260566
59,そう,0.02366126876861607
261,思う,0.02345582360796877
155,何,0.023235242973406192
7,love,0.023109800928708606
271,愛す,0.021149771033962563
387,笑う,0.020900997010344757
226,太陽,0.02087777827691374
484,風,0.020339257470715372
5,is,0.020275847752662442
294,旅,0.019214473516578328
254,心,0.01905417885138417
420,街,0.019053509488254232
409,胸,0.019007305955501354
460,遠い,0.018982628898455957
270,愛,0.018969398933138145
132,一,0.018746730001925577
45,さ,0.01863821437138933
429,言う,0.018486713117107853
181,南,0.018365759962757314
166,兄弟,0.018273750384833493
257,忘れる,0.018206906961840602
13,あげる,0.018101757926720616
23,いつか,0.018058626947321722
442,踊る,0.01796694956866991
176,分かる,0.017942384913881566
137,世界,0.017728034378081032
259,思い出す,0.017651994586789704
8,me,0.017550397154506826
322,歌,0.017524756550222245
179,前,0.017412564599834417
145,人,0.0168731554338376
93,みる,0.016718619871652098
159,俺,0.016675307689708294
290,揺れる,0.01620120729640518
102,られる,0.01604933028259439
62,たち,0.015823382688655286
376,知る,0.0157867689477212
95,もの,0.015694018133278923
286,探す,0.01568562075612877
131,ロックンロール,0.015600853291442203
168,光,0.015570327918101893
300,星,0.015474217815386274
228,好き,0.015471892008353225
425,見る,0.015444318547784518
340,泣く,0.01528092654010903
172,出る,0.015233999056324518
77,なれる,0.015182702134749058
390,純血,0.015163105542284205
483,顔,0.015115392456568599
424,見つける,0.015110953323902134
367,目,0.01506482514204092
304,時間,0.014873052623661502
151,今日,0.01480362161248684
71,とき,0.014723169086158436
298,明日,0.014623754277971494
94,みんな,0.01461469051989201
313,本当,0.01438479018690442
266,情熱,0.014360123882958448
16,ある,0.014237717079644382
478,音,0.01420044898817887
233,家,0.014100600069161619
374,着る,0.01403017614505698
64,ため,0.013990854070097846
109,オレンジ,0.013947010955484595
457,過ぎる,0.013799639017134394
210,声,0.013747445244571188
186,名前,0.013683657401928723
66,つく,0.013606100828754275
97,やる,0.013589375015795201
6,life,0.013515861378938404
315,東,0.01347330048333582
347,消える,0.013427021278058076
58,せる,0.013394517844503951
175,分,0.013260639204665645
161,側,0.013013992755881571
61,それ,0.012993532069478059
327,歩く,0.012914904194321454
415,花,0.012898806173354371
2,city,0.012746457837015763
316,果て,0.012669359007483423
38,くる,0.01259779433638273
213,夏,0.012570736572997494
182,友達,0.012448400816255391
439,走る,0.012347091278218593
122,パーティー,0.012247530973695618
217,夜,0.012205133181916026
303,時,0.012126113513072008
115,シンガー,0.0121232948243793
497,１,0.011931841011764583
302,昨日,0.011860633758508566
481,頃,0.011834747513976382
452,連れる,0.011814181795081313
105,わけ,0.011712650455884495
278,投げる,0.011660848735145803
329,死ぬ,0.011596939258058717
339,波,0.011502279113700723
127,メロディー,0.011448248808813262
244,度,0.011360601786401182
423,見える,0.01135479381339912
